title,published_dt,sources,sections,urls,keep_reason,is_keep_override,excluded_reason
UnitedHealthcare eyes CMS' BALANCE GLP-1 model,2026-04-21T14:27:28-05:00,Beckers Payer,payer,https://www.beckerspayer.com/payer/medicare-advantage/unitedhealthcare-eyes-cms-balance-glp-1-model,,False,GLP-1
UnitedHealth Group reports $6.2B+ Q1 profit: 7 notes,2026-04-21T10:13:13-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/unitedhealth-group-reports-6-2b-q1-profit-7-notes,,False,Q1
How Jefferson Health is coping with GLP-1 pressures in insurance coverage,2026-04-20T16:04:51-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/how-jefferson-health-is-coping-with-glp-1-pressures-in-insurance-coverage,,False,GLP-1
Rural hospitals reimagine revenue,2026-04-20T09:34:11-05:00,Beckers Hospital Review,finance,https://www.beckershospitalreview.com/finance/rural-hospitals-reimagine-revenue,,False,revenue
